date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,month,year,type
2017-11-01,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-02,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-03,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-04,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-05,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-06,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-07,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-08,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-09,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-10,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-11,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-12,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-13,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-14,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-15,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-16,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-17,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-18,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-19,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-20,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-21,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-22,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-23,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-24,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-25,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-26,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-27,0,0,0,0,2017-11,0.0,11,2017,train
2017-11-28,41,3,38,343,2017-11,134.25,11,2017,train
2017-11-29,29,2,28,240,2017-11,120.02,11,2017,train
2017-11-30,31,2,30,121,2017-11,98.15,11,2017,train
2017-12-01,32,2,32,184,2017-12,184.73000000000002,12,2017,train
2017-12-02,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-03,23,1,23,227,2017-12,76.38000000000001,12,2017,train
2017-12-04,6,2,6,55,2017-12,14.959999999999999,12,2017,train
2017-12-05,36,3,33,141,2017-12,179.6,12,2017,train
2017-12-06,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-07,8,2,4,12,2017-12,32.2,12,2017,train
2017-12-08,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-09,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-10,76,3,71,645,2017-12,237.22000000000003,12,2017,train
2017-12-11,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-12,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-13,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-14,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-15,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-16,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-17,46,1,46,498,2017-12,81.33000000000001,12,2017,train
2017-12-18,9,1,9,58,2017-12,41.5,12,2017,train
2017-12-19,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-20,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-21,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-22,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-23,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-24,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-25,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-26,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-27,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-28,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-29,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-30,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-31,0,0,0,0,2017-12,0.0,12,2017,train
2018-01-01,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-02,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-03,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-04,38,1,38,495,2018-01,55.99,1,2018,train
2018-01-05,125,3,121,1210,2018-01,501.1899999999999,1,2018,train
2018-01-06,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-07,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-08,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-09,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-10,44,3,44,306,2018-01,490.62,1,2018,train
2018-01-11,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-12,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-13,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-14,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-15,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-16,75,3,67,592,2018-01,249.66,1,2018,train
2018-01-17,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-18,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-19,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-20,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-21,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-22,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-23,29,2,29,273,2018-01,121.66,1,2018,train
2018-01-24,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-25,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-26,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-27,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-28,25,1,25,264,2018-01,45.910000000000004,1,2018,train
2018-01-29,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-30,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-31,29,1,29,266,2018-01,99.84,1,2018,train
2018-02-01,1,1,1,1,2018-02,51.0,2,2018,train
2018-02-02,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-03,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-04,50,1,50,476,2018-02,106.14999999999999,2,2018,train
2018-02-05,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-06,159,5,146,1558,2018-02,384.03,2,2018,train
2018-02-07,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-08,68,5,56,473,2018-02,305.15000000000003,2,2018,train
2018-02-09,18,1,18,152,2018-02,112.49000000000001,2,2018,train
2018-02-10,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-11,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-12,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-13,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-14,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-15,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-16,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-17,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-18,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-19,1,1,1,2,2018-02,1.25,2,2018,train
2018-02-20,57,3,56,494,2018-02,223.27999999999997,2,2018,train
2018-02-21,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-22,20,1,20,204,2018-02,58.15,2,2018,train
2018-02-23,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-24,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-25,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-26,37,1,37,336,2018-02,92.28,2,2018,train
2018-02-27,68,3,65,545,2018-02,291.80999999999995,2,2018,train
2018-02-28,21,3,20,161,2018-02,68.92999999999999,2,2018,train
2018-03-01,12,1,12,106,2018-03,40.650000000000006,3,2018,train
2018-03-02,19,1,19,164,2018-03,65.79,3,2018,train
2018-03-03,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-04,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-05,4,1,4,9,2018-03,11.5,3,2018,train
2018-03-06,45,2,41,391,2018-03,145.36999999999998,3,2018,train
2018-03-07,4,1,4,8,2018-03,12.7,3,2018,train
2018-03-08,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-09,27,2,26,143,2018-03,109.44999999999999,3,2018,train
2018-03-10,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-11,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-12,50,1,50,456,2018-03,131.41,3,2018,train
2018-03-13,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-14,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-15,61,1,61,505,2018-03,168.37999999999997,3,2018,train
2018-03-16,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-17,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-18,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-19,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-20,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-21,33,2,32,344,2018-03,102.57,3,2018,train
2018-03-22,10,1,10,100,2018-03,26.620000000000005,3,2018,train
2018-03-23,4,1,4,4,2018-03,24.8,3,2018,train
2018-03-24,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-25,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-26,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-27,4,1,4,11,2018-03,12.399999999999999,3,2018,train
2018-03-28,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-29,26,1,26,271,2018-03,60.099999999999994,3,2018,train
2018-03-30,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-31,0,0,0,0,2018-03,0.0,3,2018,train
2018-04-01,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-02,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-03,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-04,9,1,9,87,2018-04,19.080000000000002,4,2018,train
2018-04-05,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-06,25,2,23,211,2018-04,96.05000000000001,4,2018,train
2018-04-07,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-08,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-09,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-10,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-11,53,2,47,437,2018-04,196.16000000000003,4,2018,train
2018-04-12,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-13,5,1,5,72,2018-04,2.76,4,2018,train
2018-04-14,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-15,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-16,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-17,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-18,49,1,49,429,2018-04,135.87,4,2018,train
2018-04-19,2,1,2,8,2018-04,3.38,4,2018,train
2018-04-20,12,1,12,60,2018-04,61.7,4,2018,train
2018-04-21,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-22,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-23,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-24,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-25,69,2,68,679,2018-04,178.11999999999998,4,2018,train
2018-04-26,3,1,3,10,2018-04,12.15,4,2018,train
2018-04-27,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-28,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-29,0,0,0,0,2018-04,0.0,4,2018,train
2018-04-30,0,0,0,0,2018-04,0.0,4,2018,train
2018-05-01,0,0,0,0,2018-05,0.0,5,2018,train
