date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,month,year,type
2017-12-01,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-02,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-03,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-04,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-05,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-06,3,2,3,17,2017-12,4.85,12,2017,train
2017-12-07,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-08,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-09,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-10,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-11,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-12,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-13,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-14,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-15,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-16,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-17,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-18,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-19,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-20,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-21,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-22,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-23,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-24,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-25,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-26,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-27,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-28,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-29,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-30,0,0,0,0,2017-12,0.0,12,2017,train
2017-12-31,0,0,0,0,2017-12,0.0,12,2017,train
2018-01-01,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-02,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-03,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-04,4,1,4,4,2018-01,26.05,1,2018,train
2018-01-05,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-06,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-07,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-08,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-09,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-10,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-11,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-12,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-13,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-14,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-15,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-16,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-17,9,1,9,126,2018-01,15.350000000000001,1,2018,train
2018-01-18,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-19,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-20,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-21,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-22,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-23,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-24,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-25,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-26,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-27,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-28,8,2,7,69,2018-01,95.45000000000002,1,2018,train
2018-01-29,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-30,0,0,0,0,2018-01,0.0,1,2018,train
2018-01-31,0,0,0,0,2018-01,0.0,1,2018,train
2018-02-01,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-02,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-03,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-04,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-05,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-06,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-07,4,1,4,41,2018-02,45.15,2,2018,train
2018-02-08,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-09,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-10,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-11,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-12,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-13,15,1,15,157,2018-02,42.10000000000001,2,2018,train
2018-02-14,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-15,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-16,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-17,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-18,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-19,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-20,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-21,65,5,13,687,2018-02,79.86,2,2018,train
2018-02-22,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-23,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-24,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-25,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-26,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-27,0,0,0,0,2018-02,0.0,2,2018,train
2018-02-28,0,0,0,0,2018-02,0.0,2,2018,train
2018-03-01,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-02,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-03,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-04,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-05,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-06,17,1,17,130,2018-03,97.0,3,2018,train
2018-03-07,19,2,17,192,2018-03,103.9,3,2018,train
2018-03-08,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-09,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-10,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-11,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-12,2,1,2,1,2018-03,17.0,3,2018,train
2018-03-13,3,2,2,27,2018-03,5.8500000000000005,3,2018,train
2018-03-14,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-15,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-16,19,1,19,134,2018-03,113.44999999999999,3,2018,train
2018-03-17,0,0,0,0,2018-03,0.0,3,2018,train
2018-03-18,0,0,0,0,2018-03,0.0,3,2018,train
